onetsoccode,occupation_title,median_annual_wage_2024,mean_annual_wage_2024,total_employment_2024,observed_exposure,pss,pred_productivity_effect,expertise_percentile,"Employment Percent Change, 2024-2034"
11-1011,Chief Executives,206420.0,262930.0,211850.0,0.0333,0.11260509490966797,0.25087982416152954,83.54962921142578,4.3
11-1011,Chief Sustainability Officers,206420.0,262930.0,211850.0,0.0333,0.18131226301193237,0.1623944491147995,76.1648178100586,4.3
11-1021,General and Operations Managers,102950.0,133120.0,3584420.0,0.1378,0.11245641112327576,0.21565210819244385,75.98481750488281,4.4
11-1031,Legislators,44810.0,67390.0,26510.0,0.0,0.06231045722961426,,73.78844451904297,3.4
11-2011,Advertising and Promotions Managers,126960.0,149270.0,21100.0,0.1731,0.1742735505104065,0.24831387400627136,64.66527557373047,-2.2
11-2021,Marketing Managers,161030.0,171520.0,384980.0,0.3195,0.28870904445648193,0.23615087568759918,81.01182556152344,6.6
11-2022,Sales Managers,138060.0,160930.0,603710.0,0.0433,0.14477288722991943,0.24483244121074677,60.65422439575195,4.7
11-2032,Public Relations Managers,138520.0,163520.0,76060.0,0.2315,0.043653011322021484,,67.4883041381836,5.0
11-2033,Fundraising Managers,123480.0,137290.0,36920.0,,0.07277238368988037,,65.31082916259766,4.2
11-3012,Administrative Services Managers,108390.0,126030.0,254140.0,0.0,0.09332740306854248,0.222290500998497,50.482933044433594,4.6
11-3013,Facilities Managers,104690.0,114520.0,141090.0,0.1345,0.3111764192581177,,72.0754165649414,3.8
11-3013,Security Managers,104690.0,114520.0,141090.0,0.1345,0.17859578132629395,,69.07189178466797,3.8
11-3021,Computer and Information Systems Managers,171200.0,187990.0,645970.0,0.1559,0.26119083166122437,0.271365761756897,76.85357666015625,15.2
11-3031,Financial Managers,161700.0,180470.0,818620.0,0.3907,0.2795955538749695,0.2370770126581192,73.11888122558594,14.8
11-3031,Treasurers and Controllers,161700.0,180470.0,818620.0,0.3907,0.3062353730201721,0.22148868441581726,82.6811752319336,14.8
11-3031,Investment Fund Managers,161700.0,180470.0,818620.0,0.3907,0.21438699960708618,0.25,79.4722900390625,14.8
11-3051,Industrial Production Managers,121440.0,129180.0,234380.0,0.0132,0.18829768896102905,0.25887203216552734,58.89146423339844,1.9
11-3051,Quality Control Systems Managers,121440.0,129180.0,234380.0,0.0132,0.19311457872390747,0.24930846691131592,62.5343017578125,1.9
11-3051,Geothermal Production Managers,121440.0,129180.0,234380.0,0.0132,0.3291894197463989,0.23315981030464172,78.30940246582031,1.9
